open,high,low,close,volume,sma,ema,macd,macd_signal,rsi,stoch_k,stoch_d,bb_upper,bb_middle,bb_lower,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,stoch_rsi_k,stoch_rsi_d,volume_ema,volume_sma,volume_bb_upper,volume_bb_middle,volume_bb_lower
239.0,245.0,238.5,241.0,52256877,223.35714285714286,225.88108095773933,2.3238164592257533,-0.2211064145773481,71.46802626006559,87.5,89.8809523809524,235.71044115469851,220.575,205.43955884530146,231.5,227.5,227.75,234.75,99.50998932697627,93.81208485738556,40395567.20392321,32979695.64285714,69918668.67398188,33653881.05,-2610906.5739818886
240.0,241.5,238.5,241.0,27239267,225.14285714285714,227.89693683004074,3.298286593823491,0.48277218710281977,71.46802626006559,87.5,91.66666666666667,239.27087701933982,221.9,204.5291229806602,231.5,227.5,227.75,234.75,100.0,98.03744261328825,38641393.84340011,33838765.071428575,69392838.4573574,33093527.1,-3205784.257357411
239.0,241.0,239.0,240.5,20962512,227.0,229.57734525270197,3.984286994504629,1.1830751485831816,70.4926543625798,85.0,86.66666666666667,241.98180990554198,223.275,204.56819009445803,233.0,227.5,227.75,234.5,98.8460294260485,99.45200625100826,36284209.59761343,34034271.928571425,68686674.49534148,32147232.0,-4392210.495341487
241.0,242.5,239.5,241.0,30606388,228.71428571428572,231.10036588567505,4.5162327557846424,1.8497066700234739,70.92005650215906,85.18518518518519,85.89506172839505,244.23066719267914,224.725,205.21933280732085,233.0,227.5,227.5,234.5,98.06804545131486,98.97135829245445,35527166.71793164,34146602.35714286,68222220.46381003,31780512.4,-4661195.66381003
242.0,244.5,241.0,244.5,27129646,230.35714285714286,232.88698376758504,5.160734617120454,2.51191225944287,73.78275924240872,98.14814814814815,89.44444444444444,247.10838942065675,226.125,205.14161057934325,233.0,227.5,227.375,234.5,98.06804545131484,98.32737344289274,34407497.28887409,33317663.285714287,67899491.67479815,31421310.7,-5056870.274798151
244.5,245.5,244.0,245.5,22788730,232.03571428571428,234.56871926524036,5.686646507145724,3.146859108983441,74.55353284101633,100.0,94.44444444444444,249.56176667392754,227.7,205.83823332607244,233.75,227.75,227.375,234.5,99.22201602526634,98.45270230929869,32858328.317024212,33508361.35714286,67614445.31301785,30938275.1,-5737895.113017842
243.5,246.0,242.0,246.0,27059442,233.89285714285714,236.09289002987498,6.0737666887080195,3.732240624928357,74.9500854256846,100.0,99.38271604938272,251.66502362425564,229.275,206.88497637574437,235.25,228.0,225.375,233.25,99.99999999999999,99.09668715886039,32085143.47475432,34022986.5,67574573.98761354,30875086.2,-5824401.587613542
247.0,248.0,246.5,248.0,29136161,235.85714285714286,237.68050469255832,6.467393421399748,4.279271184222636,76.52590612437851,100.0,100.0,253.8369250064099,230.875,207.9130749935901,240.5,229.0,222.625,230.5,99.99999999999999,99.74067200842211,31691945.811453745,34413708.64285714,67540728.66791347,31571279.5,-4398169.667913474
249.0,249.5,243.5,244.5,22402110,237.28571428571428,238.58977073355055,6.422885665857365,4.707994080549582,68.41491250942485,82.45614035087719,94.15204678362574,254.74479871918467,232.375,210.00520128081533,244.0,229.75,222.375,229.25,89.86472359684554,96.62157453228184,30453301.036593247,33891265.71428572,67470730.41321535,31780114.2,-3910502.013215352
246.0,248.0,245.0,247.0,24719097,238.96428571428572,239.71113463574383,6.514249838399849,5.069245232119636,70.79594531718162,91.2280701754386,91.22807017543862,255.9248836373585,233.875,211.8251163626415,244.0,230.75,220.75,227.25,82.70472085031223,90.8564814823859,29688740.498380817,34526968.78571428,67376846.00651506,31564380.95,-4248084.106515061
245.0,247.0,244.0,245.5,22364568,240.67857142857142,240.48298335097797,6.391936870011193,5.333783559697947,67.50763985519554,85.45454545454545,86.37958532695376,256.9003232929573,235.075,213.24967670704268,244.25,231.25,220.0,227.25,70.31916437132764,80.9628696061618,28712184.165263373,34585263.928571425,66616551.5851015,30745869.7,-5124812.185101498
245.0,245.5,241.5,241.5,23992418,242.0,240.61858557084759,5.9041767167721275,5.447862191112784,59.56268471845802,68.0,81.56087187666135,257.14602107657174,236.05,214.95397892342825,244.5,231.25,220.0,227.25,54.66624844929371,69.23004455697786,28082882.009894922,33449103.92857143,66609905.772100575,30939542.75,-4730820.272100575
245.0,247.5,244.5,247.5,24382432,243.64285714285714,241.53610749473458,5.933376862048931,5.544965125300013,66.02232238393933,87.87878787878788,80.44444444444444,257.68456564193826,237.425,217.16543435806176,245.25,231.25,220.0,227.25,41.186335602174445,55.390582807598605,27589488.675242268,32357762.214285713,66596743.11109638,31165929.85,-4264883.411096379
247.0,248.0,246.0,247.0,15128655,244.32142857142858,242.26462649543666,5.848751598524501,5.605722419944911,65.08920083118262,77.27272727272727,77.71717171717172,257.77768066735814,238.75,219.72231933264186,245.5,231.25,219.875,222.25,31.098359451316583,42.31698116759491,25928044.185209967,26440593.07142857,66751276.26661906,30739060.05,-5273156.166619051
246.5,247.0,244.5,245.0,15890492,244.60714285714286,242.62934296271177,5.556253154469459,5.59582856684982,61.35382956241286,59.09090909090909,74.74747474747474,257.75005581573964,239.775,221.79994418426034,245.5,232.25,218.125,222.25,27.07288176083543,33.11919227144215,24589703.89384864,23842994.14285714,66668312.51175941,30047769.1,-6572774.311759405
241.5,243.0,239.0,240.5,17881194,244.57142857142858,242.34543056768354,4.9047942236061886,5.457621698201095,53.863716825699406,14.285714285714286,50.21645021645022,256.8856240574233,240.625,224.36437594257671,244.25,233.75,217.75,222.25,14.379464021154675,24.18356841110223,23695235.908002153,23174560.35714286,66614019.17209232,30150866.1,-6312286.972092316
245.0,245.0,242.5,243.5,17358913,244.78571428571428,242.49937315865907,4.577813075794694,5.281659973719815,57.581589353927676,42.857142857142854,38.74458874458875,255.29150286551447,241.725,228.15849713448551,244.25,233.75,218.75,222.25,8.988203123811262,16.813516301933788,22850392.85360187,22917160.42857143,66659869.25615436,29941389.95,-6777089.356154356
244.5,244.5,239.5,241.5,18473321,244.82142857142858,242.36612340417122,4.1099182953065565,5.047311638037164,54.4323724134505,23.80952380952381,26.984126984126984,252.97676644759494,242.65,232.32323355240507,243.5,233.75,219.0,222.25,6.3049632429367,9.890876795967545,22266783.273121618,22050512.785714287,65615589.264405645,28870123.1,-7875343.064405642
238.0,241.5,238.0,239.0,19155966,244.42857142857142,241.91730695028173,3.497067190419216,4.737262748513574,50.69970688627125,8.695652173913043,25.1207729468599,249.52980129227456,243.375,237.22019870772544,243.0,233.75,219.5,222.25,6.304963242936701,7.199376536561554,21852007.636705402,21480964.214285713,64466634.38094092,27844860.6,-8776913.180940919
